id;nombre;apellido;telefono;correo;puntos
1;France protocol;open-source HDD;91324;Avon;50151
2;digital deposit;extend Unbranded Fresh Pants Tools;57886;interfaces;67202
3;implementation;Wallis and Futuna;28654;Utah Computers Small Fresh Gloves;36019
4;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;84202;sky blue;41135
5;Philippine Peso Metal;Strategist;51630;alliance redundant global;43897
6;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;44235;Optimized;9387
7;Tuna Response invoice;alarm Jamaica;61172;paradigms Organic strategic;75784
8;Garden;Small;9415;solution;97951
9;Shoes Music connect;Hollow Shoes systems;39850;Personal Loan Account;63509
10;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389;Solutions COM;63640
