id;nombre;apellido;dni;telefono;correo
1;HDD;Algerian Dinar;firewall;80950;turn-key
2;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;Enhanced deposit parsing
3;Borders content-based;Tasty Customer Human;pink even-keeled;70035;programming SCSI drive
4;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice
5;Fish;Networked;Fish;36646;program alarm
6;Nevada;Berkshire;dedicated Persevering;97301;target Human withdrawal
7;dot-com payment Libyan Dinar;white sensor local;calculate;4360;Representative
8;Response Human;back up Factors;architectures;96665;Strategist SDD
9;functionalities;compressing;Bedfordshire;37268;matrix calculating
10;Arkansas Intelligent Credit Card Account;intuitive Open-architected system-worthy;program;69701;Sudanese Pound
